Shoulder,Chest,Waist,Hips,Sleeve Length,Height,Fabric estimation in meters
15.0,29.5,24.0,28.5,26.0,57.5,2.75
16.0,24.5,20.5,25.0,23.5,50.0,3.0
16.0,28.5,21.0,27.0,23.5,46.5,2.0
18.5,34.0,31.0,34.0,22.0,38.0,3.75
16.5,29.0,22.5,26.0,25.0,54.5,2.75
16.5,27.5,22.0,27.5,22.5,36.5,3.5
17.0,26.5,18.5,24.0,22.5,43.5,2.0
14.5,23.5,20.5,22.5,24.0,38.5,2.0
19.5,28.0,26.0,30.5,26.0,59.0,2.5
14.5,23.5,16.5,18.5,24.0,36.5,2.0
16.5,30.5,27.5,32.0,25.5,37.0,2.5
17.5,26.0,22.0,27.0,25.5,58.0,3.5
17.5,27.5,23.0,27.5,22.0,39.5,1.5
15.5,24.5,21.5,27.0,23.0,53.0,2.5
18.5,28.0,25.0,30.0,24.0,41.5,2.5
19.0,28.5,25.5,30.5,22.5,52.5,2.5
19.5,32.0,25.5,30.5,23.5,48.5,3.25
16.0,24.0,16.0,19.0,22.5,39.0,2.5
19.5,32.5,30.0,32.5,25.0,53.0,2.5
14.5,26.5,23.0,26.0,22.0,48.0,2.0
17.5,29.0,26.0,30.0,22.0,48.5,3.0
18.5,28.5,24.0,27.0,24.0,57.5,2.75
17.0,26.0,20.5,25.0,24.5,45.0,3.75
16.0,29.5,23.0,26.0,25.5,49.0,3.0
14.5,24.5,17.5,20.5,22.5,56.5,4.0
15.5,31.5,26.5,29.0,25.0,38.0,3.0
17.5,26.0,19.5,23.5,23.0,57.0,1.75
18.0,34.0,28.0,31.0,24.0,45.0,2.25
17.5,28.5,22.5,26.0,22.5,54.5,3.75
14.5,30.0,23.5,27.5,23.5,44.5,1.5
18.0,33.5,27.0,29.0,24.0,38.5,2.75
20.0,30.5,23.5,27.0,23.5,53.0,3.25
17.0,25.5,19.5,21.5,22.0,40.5,2.75
15.0,30.5,28.0,32.5,25.5,46.0,2.25
18.5,32.5,26.0,28.5,24.5,49.5,3.75
15.5,26.5,21.0,25.0,23.0,40.0,3.25
20.0,33.0,27.5,32.0,24.0,51.0,4.0
16.5,26.0,18.0,20.0,25.5,42.5,2.25
15.5,25.0,18.5,23.5,26.0,44.5,1.75
19.0,34.5,29.5,33.0,23.0,43.5,3.75
17.0,29.5,24.5,29.5,22.5,57.5,2.75
18.0,29.5,24.5,28.5,23.5,45.0,3.5
16.0,31.5,24.0,27.0,23.0,45.5,4.0
19.5,30.5,28.0,31.5,24.5,50.5,2.0
20.0,30.0,22.0,27.5,25.0,60.0,3.5
18.5,31.5,24.5,29.5,24.5,40.0,2.5
15.0,31.0,27.0,29.5,23.0,48.5,2.0
16.0,29.5,22.5,27.5,25.0,45.5,2.75
16.0,28.5,24.5,27.0,24.0,35.5,3.75
15.0,24.0,17.5,21.0,23.5,36.0,4.0
