Shoulder,Chest,Waist,Hips,Sleeve Length,Height,Fabric estimation in meters
19.5,33.5,30.5,36.0,24.5,46.5,4.0
18.0,29.0,24.0,28.0,25.0,41.5,1.5
15.0,25.5,19.0,21.5,22.5,41.0,2.0
17.5,32.0,26.0,29.5,22.0,58.0,3.0
17.5,28.0,23.0,27.0,25.0,57.0,2.25
17.5,26.0,23.5,26.0,22.0,58.5,2.0
14.0,27.5,21.5,24.0,25.0,46.0,3.5
16.0,26.5,21.5,25.5,25.5,57.0,3.25
18.5,29.5,23.5,27.5,23.0,36.0,3.25
18.5,27.0,23.0,27.5,23.0,50.0,3.75
18.0,29.5,25.0,28.0,26.0,54.5,1.75
17.5,27.0,21.0,24.0,23.5,53.0,2.0
18.5,27.5,23.0,25.5,26.0,41.0,1.75
19.0,30.5,26.5,31.5,26.0,38.0,2.5
17.0,25.0,20.5,23.0,25.5,42.0,2.75
17.5,27.0,20.5,26.0,22.5,56.5,2.0
18.5,27.0,23.0,28.0,23.0,53.0,2.25
17.0,29.5,25.5,30.5,25.5,56.5,1.75
18.0,27.5,25.0,29.0,23.0,56.0,3.5
18.5,32.0,26.0,32.0,22.0,47.0,4.0
18.5,28.0,23.0,28.5,22.5,40.5,1.75
19.5,33.5,26.0,29.0,23.0,60.0,3.5
15.5,26.0,23.0,29.0,24.5,59.5,4.0
20.0,32.5,30.0,33.0,24.0,51.5,2.5
18.5,29.0,26.0,29.0,23.0,51.0,3.0
16.5,26.5,21.5,24.0,24.0,40.0,3.75
20.0,31.0,27.0,29.5,23.5,47.0,3.0
14.0,25.0,19.5,22.5,25.0,43.5,2.0
17.0,30.0,23.5,26.0,24.0,56.5,3.0
14.5,23.5,21.5,23.5,26.0,47.0,3.5
18.5,30.0,24.0,27.5,24.5,46.0,3.5
15.5,27.0,23.0,26.0,23.5,36.5,3.0
18.0,34.0,30.5,34.5,25.5,44.0,3.0
17.0,29.5,23.5,25.5,24.0,50.5,2.25
17.0,26.5,23.0,29.0,22.5,59.0,1.75
15.0,30.5,26.5,31.5,26.0,46.0,1.5
19.0,28.0,22.5,26.0,24.0,43.0,2.5
20.0,34.0,27.0,32.5,23.0,54.0,2.75
18.0,27.5,20.5,26.0,23.0,43.5,1.5
19.5,28.5,24.5,29.0,23.0,40.5,2.75
19.0,27.5,22.0,24.0,23.0,45.0,3.5
14.5,28.5,26.5,30.5,24.0,55.5,3.0
19.5,33.0,30.0,35.5,22.0,48.5,1.5
18.5,28.0,24.5,27.5,22.0,38.5,3.75
19.5,34.0,29.5,34.5,23.0,35.5,2.0
14.5,29.5,25.0,27.5,22.5,56.0,1.75
17.5,30.0,22.5,27.5,26.0,50.5,2.75
14.0,22.5,17.5,21.0,25.0,41.0,4.0
17.5,28.0,25.0,28.5,25.0,52.5,3.75
17.0,28.0,21.0,26.0,22.0,49.0,1.5
