Shoulder,Chest,Waist,Hips,Sleeve Length,Height,Fabric estimation in meters
16.5,26.0,23.5,29.5,25.5,50.0,3.25
18.0,33.0,25.5,30.5,24.5,48.0,3.0
18.5,32.5,28.0,30.0,25.0,35.0,2.75
18.0,33.0,26.0,31.0,22.5,43.0,3.5
16.5,29.0,26.0,28.0,23.0,44.0,4.0
15.0,24.0,17.5,23.0,22.5,50.0,3.0
18.5,28.5,25.5,30.5,25.0,59.0,3.5
19.5,31.5,29.5,34.0,22.5,52.5,2.75
15.5,24.5,21.5,25.5,22.5,35.5,3.5
14.0,29.0,21.5,25.5,24.5,48.0,3.25
19.0,28.5,25.0,30.0,23.0,59.0,2.25
16.5,27.0,22.0,26.0,24.5,46.5,1.75
15.0,25.0,18.0,22.0,25.0,47.5,1.5
16.5,25.0,17.5,23.5,23.0,56.0,3.25
16.5,25.5,21.0,25.5,25.5,46.0,1.75
17.5,28.0,20.5,23.0,22.0,47.5,3.5
16.5,25.5,18.0,21.0,24.5,39.5,1.75
14.0,29.5,25.5,31.5,23.5,40.0,2.5
14.5,26.5,22.0,25.5,22.0,58.0,3.0
19.5,33.5,26.5,31.0,25.5,44.5,2.25
19.0,30.5,27.5,33.0,24.5,56.5,3.0
18.0,34.0,31.5,37.5,23.5,57.5,3.75
16.0,27.0,22.0,24.5,25.0,44.5,3.25
19.0,27.5,23.5,25.5,23.5,50.5,3.5
19.0,28.5,23.0,28.5,22.5,59.0,1.75
15.0,24.0,16.0,19.5,26.0,58.5,1.75
18.5,29.0,24.0,29.5,24.5,58.5,2.5
15.5,25.0,21.5,25.0,23.5,44.5,1.75
20.0,29.5,25.5,29.0,23.5,48.5,3.25
17.5,31.5,24.0,29.0,24.0,40.0,3.75
15.5,27.5,22.5,28.5,24.0,55.5,1.75
19.5,32.5,27.0,31.5,22.5,58.0,3.75
17.5,32.0,27.5,32.0,24.5,57.5,3.75
15.5,29.5,24.0,28.0,23.0,48.0,2.0
14.5,27.5,20.5,25.0,24.5,42.0,2.0
14.0,24.5,18.0,22.5,25.5,57.5,1.75
18.5,33.5,30.5,35.5,24.5,49.5,2.25
17.5,31.5,27.5,29.5,22.5,58.0,2.0
18.0,28.5,21.0,27.0,22.5,57.0,2.25
16.5,26.0,23.0,29.0,22.5,43.0,3.75
16.0,28.5,22.5,26.5,23.5,40.0,3.5
16.0,25.0,18.5,22.0,22.0,41.5,3.0
20.0,36.0,30.5,33.5,24.0,58.5,3.5
16.5,26.5,24.5,26.5,23.0,51.5,2.0
18.5,28.0,23.0,26.0,26.0,52.5,2.25
17.0,30.0,22.5,28.0,24.5,59.5,3.25
14.0,24.0,17.0,20.5,22.5,39.0,2.0
17.0,28.0,22.5,25.5,24.0,51.0,1.5
18.0,33.5,27.0,31.5,22.5,59.5,3.25
19.0,28.0,22.5,28.0,26.0,49.5,1.5
