Shoulder,Chest,Waist,Hips,Sleeve Length,Height,Fabric estimation in meters
15.5,31.0,25.5,30.0,22.5,38.0,3.25
16.0,24.0,19.5,24.5,24.0,37.0,3.25
15.0,27.0,21.5,27.0,24.5,40.0,3.25
14.5,27.5,21.5,27.0,25.0,56.0,2.5
17.5,30.0,25.5,30.0,23.0,35.0,3.5
16.5,26.0,21.0,23.5,22.5,41.0,2.75
19.5,28.0,21.0,25.5,24.5,38.0,2.25
14.5,24.0,17.0,22.5,24.0,59.5,2.25
16.5,30.0,24.5,28.5,23.0,47.0,3.5
14.5,25.5,19.0,21.0,25.0,41.0,3.0
15.0,24.0,17.5,20.0,24.5,52.5,3.75
16.5,25.5,20.5,24.5,23.5,42.0,2.75
16.0,27.5,22.0,26.0,26.0,49.5,3.25
16.5,29.5,22.0,26.5,25.0,44.5,2.25
18.0,32.0,25.0,30.5,22.5,47.5,2.75
20.0,35.5,32.5,38.5,23.0,36.0,2.75
16.0,25.0,17.5,21.5,22.0,59.0,2.0
14.5,28.5,21.0,23.5,24.5,51.5,1.5
18.0,29.0,26.0,29.0,23.0,58.0,4.0
18.0,34.0,26.0,31.5,24.5,58.5,4.0
15.5,28.0,24.5,28.5,25.5,35.0,1.75
18.5,26.5,22.5,27.5,23.0,47.5,3.25
15.0,31.0,25.5,30.0,25.0,48.5,3.5
19.5,34.5,28.5,31.5,24.0,45.0,3.5
14.5,29.5,27.0,29.0,25.0,46.0,1.75
14.5,29.5,23.0,26.5,25.0,57.5,3.25
19.5,34.0,27.5,30.0,23.0,40.5,3.75
15.5,25.0,19.0,21.5,22.5,55.0,2.75
17.5,30.0,23.0,25.5,23.0,44.5,1.75
19.0,33.5,29.5,33.5,26.0,59.0,1.75
18.0,30.5,28.0,33.5,25.0,54.5,2.25
15.5,31.0,26.0,31.0,24.5,52.5,1.5
15.0,28.0,22.0,26.5,25.5,49.0,3.5
14.5,28.5,23.5,26.0,22.5,36.0,3.75
15.5,27.0,25.0,27.5,26.0,53.0,3.75
19.5,30.0,23.5,26.0,22.5,53.5,3.5
19.5,33.5,27.0,32.0,24.0,49.0,3.0
18.0,31.0,26.5,31.5,25.5,39.5,3.25
16.5,25.0,23.0,27.5,25.0,56.5,1.75
15.5,29.0,24.5,30.0,26.0,49.5,2.5
18.0,26.0,18.5,21.5,25.0,55.0,3.25
17.0,32.0,24.0,26.5,25.5,55.0,2.75
16.0,31.0,25.5,30.5,24.5,49.0,2.5
16.0,28.5,21.5,25.0,24.0,53.0,2.5
15.5,27.0,23.0,28.5,25.5,42.0,4.0
18.5,29.0,26.5,32.0,23.0,46.0,3.75
18.5,34.0,29.5,31.5,25.0,49.5,3.25
17.0,29.0,26.5,32.0,23.0,47.0,3.75
14.5,30.5,24.5,28.5,22.5,43.5,2.5
16.0,27.0,24.0,29.5,23.5,58.0,2.75
