Shoulder,Chest,Waist,Hips,Sleeve Length,Height,Fabric estimation in meters
15.5,30.0,27.0,29.5,25.5,52.0,2.5
15.0,29.5,24.0,30.0,22.5,49.0,1.75
16.5,25.5,19.0,22.0,26.0,43.0,3.0
14.5,30.0,25.5,27.5,23.0,46.5,2.25
19.5,30.5,26.0,30.0,23.0,46.0,2.75
17.5,28.5,25.5,30.0,23.0,36.5,3.0
15.0,25.0,17.5,23.0,24.5,53.0,2.5
19.0,33.0,29.5,31.5,23.5,59.5,2.75
16.5,26.5,22.5,26.0,24.0,48.0,3.25
18.0,28.0,23.5,27.0,24.0,38.5,2.75
19.0,28.5,21.0,24.0,24.5,52.0,3.5
18.0,29.0,22.5,26.5,24.0,38.5,3.25
15.0,31.0,25.5,28.0,25.0,38.0,3.5
17.5,25.5,21.5,24.0,23.0,58.5,4.0
14.5,23.5,16.0,20.0,23.5,59.0,3.0
18.0,32.5,25.0,29.5,22.5,36.5,3.25
18.5,32.5,29.5,32.5,23.0,55.5,3.0
19.0,28.0,21.0,26.0,22.5,37.0,2.5
15.0,30.5,26.5,31.0,24.0,54.0,2.0
19.0,27.5,23.0,26.5,24.0,49.5,3.25
19.0,28.5,24.5,27.0,25.0,37.5,3.0
17.0,30.0,23.0,25.5,22.5,52.0,2.25
15.5,28.5,21.5,27.0,22.0,45.0,4.0
14.5,28.5,22.0,24.5,26.0,48.5,3.25
19.5,31.5,24.5,29.5,22.5,47.0,3.75
19.0,34.0,27.0,29.0,24.0,37.5,2.75
19.5,32.5,27.0,32.0,22.0,51.0,1.75
19.5,30.5,23.5,28.5,23.0,50.5,3.0
14.5,30.0,26.5,31.5,23.5,59.0,1.75
15.0,28.0,26.0,31.5,23.0,42.0,4.0
17.5,31.0,29.0,33.0,23.5,36.5,2.75
16.5,24.5,21.5,27.5,25.5,50.0,2.0
15.0,30.0,25.5,28.5,24.0,45.5,1.75
19.5,27.5,20.5,25.5,24.5,44.0,2.25
16.0,27.0,23.5,28.0,22.5,42.5,2.75
15.5,24.0,21.0,24.0,25.0,41.5,1.75
15.5,28.0,20.5,25.0,22.5,38.0,2.5
16.5,29.5,23.0,25.5,24.0,45.0,2.5
15.0,26.0,19.0,24.0,22.5,48.0,3.5
19.5,35.0,32.5,38.0,24.0,57.0,1.75
16.0,25.0,19.0,23.5,24.5,38.5,2.0
19.0,30.0,23.5,26.0,24.0,39.5,4.0
15.5,29.0,25.5,29.0,25.5,36.0,3.5
15.5,28.0,25.0,30.0,23.5,37.5,3.75
14.5,22.5,18.0,22.0,26.0,39.0,2.25
19.0,30.5,24.0,28.0,24.0,40.5,3.5
19.0,28.0,22.0,26.5,25.0,49.0,1.75
14.5,23.5,21.0,24.0,24.5,57.5,3.0
18.0,26.0,20.5,25.5,23.5,49.0,2.25
19.5,30.5,24.0,28.0,25.5,38.5,3.0
