Shoulder,Short Sleeve Length,Height,Chest,Collar Size,Sleeve Open,Long Sleeve Length,Fabric estimation_shot in meters,Fabric estimation_long in meters
5,10,16,20,10,8,18,1,1.25
5 1/4,10 1/2,17,21,10 1/2,8 1/2,18 1/2,1,1.25
5 1/2,11,18,22,10 1/2,9,19,1,1.25
5 3/4,11 1/2,18 1/2,23,11,9,20,1,1.25
6,12,19,24,11,9,22,1.25,1.5
6 1/4,12 1/2,19 1/2,24,11 1/2,9,23,1.25,1.5
6 1/2,13,19 1/2,25,11 1/2,9 1/2,23 1/2,1.25,1.5
6 3/4,13 1/2,20,25,12,9 1/2,24,1.25,1.5
7,14,21,26,12,9 1/2,24 1/2,1.5,1.75
7 1/4,14 1/2,22,27,12 1/2,9 1/2,25,1.5,1.75
7 1/2,15,22,28,12 1/2,10,26,1.5,1.75
7 3/4,15 1/2,23,29,13,10,27,1.5,1.75
8,16,24,30,13,11,28,1.6,1.8
8 1/4,16 1/2,24,31,13 1/2,12,29,1.6,1.8
8 1/2,17,25,32,13 1/2,12,30,1.6,1.8
8 3/4,17 1/2,26,32,14,12 1/2,31,1.6,1.8
9,18,26,34,14 1/2,13,31,1.75,2
9 1/4,18 1/2,26,34,14 1/2,13,32,1.75,2
9 1/2,18 1/2,27,36,15,14,33,1.75,2
9 3/4,19,27,38,15 1/2,14 1/2,34,1.75,2
10,20,27,40,16,15,34,2,2.25
10 1/4,20 1/2,28,40,16 1/2,15,34 1/2,2,2.25
10 1/2,21,28,44,17,15 1/2,35,2,2.25
10 3/4,21,28,45,17 1/2,16,35 1/2,2,2.25
11,22,29,46,18,16,35 1/2,2.25,2.5
11 1/4,22 1/2,30,47,18,16 1/2,36,2.25,2.5
11 1/2,23,31,48,18 1/2,16 1/2,36 1/2,2.25,2.5
11 3/4,23 1/2,32,49,19,17,36 1/2,2.25,2.5
12,24,33,50,19 1/2,17,37,2.5,2.75
12 1/4,24 1/2,34,51,20,17 1/2,37 1/2,2.5,2.75
12 1/2,25,35,52,20 1/2,17 1/2,37 1/2,2.5,2.75
12 3/4,25 1/2,36,52 1/2,21,18,38,2.5,2.75
13,26,37,53,21 1/2,18 1/2,38 1/2,2.75,3
13 1/4,26 1/2,38,53 1/2,22,18 1/2,38 1/2,2.75,3
13 1/2,27,39,54,22 1/2,19,39,2.75,3
13 3/4,27 1/2,40,54 1/2,23,19 1/2,39 1/2,2.75,3
14,28,41,54 1/2,23,19 1/2,40,3,3.25
14 1/4,28 1/2,42,55,23 1/2,20,40 1/2,3,3.25
14 1/2,28 1/2,43,55 1/2,24,20 1/2,41,3,3.25
14 3/4,29,44,56,24 1/2,21,41 1/2,3,3.25
