Shoulder,Chest,Waist,Hips,Sleeve Length,Height,Fabric estimation in meters
17.5,26.0,23.0,26.0,25.0,46.5,3.5
15.0,25.5,21.0,25.0,23.5,54.5,2.5
14.5,24.0,16.5,22.0,26.0,58.5,2.0
20.0,30.5,27.5,31.5,22.0,40.5,2.25
18.5,26.5,22.0,27.5,24.5,38.0,2.75
19.5,33.5,31.0,37.0,24.0,52.5,2.5
15.5,25.5,19.5,23.5,25.0,42.0,3.75
15.0,29.0,24.0,27.5,23.0,51.5,2.75
17.5,28.5,23.0,27.0,23.0,37.5,1.5
17.0,31.5,26.0,29.5,23.5,59.5,2.0
16.0,30.5,23.5,29.0,24.0,37.0,4.0
14.5,25.0,18.0,21.0,25.0,35.0,3.75
15.5,27.0,19.5,23.5,24.5,43.0,1.5
18.5,29.5,24.0,26.0,23.5,56.5,2.25
17.0,30.5,28.0,34.0,22.5,56.5,3.0
14.0,30.0,27.0,32.5,22.5,60.0,2.75
14.5,26.5,21.0,24.0,25.5,54.5,3.5
15.0,25.5,21.0,27.0,23.5,52.5,2.75
17.0,28.5,26.0,28.5,22.5,53.5,1.5
20.0,35.5,32.0,35.5,22.5,42.5,4.0
18.0,27.5,23.5,27.0,25.0,45.0,3.0
16.5,29.5,23.0,26.5,25.0,59.5,2.0
17.0,26.5,19.0,24.0,25.0,38.5,3.25
17.0,32.0,28.0,31.5,25.0,41.0,3.25
16.0,28.5,23.5,27.5,23.0,43.5,3.75
17.0,28.0,20.0,24.5,24.5,36.5,2.75
18.5,29.5,25.0,30.0,23.0,50.0,3.75
19.5,32.5,29.5,34.0,25.0,50.5,3.5
15.5,30.5,28.5,32.5,22.5,57.0,3.25
14.5,24.5,18.0,24.0,22.5,38.0,2.75
18.0,28.0,23.5,28.0,24.5,40.5,3.25
16.5,32.0,24.0,26.0,23.0,53.0,2.5
16.5,25.0,18.0,22.5,24.5,55.0,1.75
15.0,30.5,28.5,34.0,24.5,59.5,3.0
19.5,29.5,23.0,28.5,26.0,39.5,2.5
14.5,30.0,24.5,29.0,26.0,38.0,1.5
15.5,30.5,25.0,30.0,22.0,53.5,4.0
16.5,29.0,24.5,30.5,23.5,41.0,1.5
14.5,24.0,18.5,20.5,22.5,51.0,2.75
18.0,32.5,27.0,29.5,23.0,47.5,2.25
20.0,29.0,26.5,31.5,23.0,60.0,3.5
19.5,30.5,23.0,29.0,25.5,56.0,2.0
15.5,30.5,24.5,30.5,24.0,53.5,3.0
18.5,27.5,24.5,29.0,22.5,57.5,1.75
18.5,31.0,25.0,29.0,24.0,37.5,2.0
17.0,30.5,26.0,29.0,25.0,58.5,2.0
19.5,32.0,27.0,31.5,24.0,55.0,2.5
18.0,31.5,28.5,34.0,22.5,58.0,2.5
16.0,28.0,26.0,31.0,24.0,38.5,3.75
18.0,26.0,22.5,26.5,23.0,39.5,3.25
