Shoulder,Chest,Waist,Hips,Sleeve Length,Height,Fabric estimation in meters
14.5,26.5,21.5,25.0,23.5,53.5,2.25
17.0,31.5,28.0,31.0,23.5,47.0,3.0
15.5,30.0,22.5,27.5,24.0,57.0,1.75
18.5,29.0,25.5,28.5,22.5,35.5,3.0
14.5,26.0,20.5,26.5,24.5,55.5,2.25
18.5,32.5,30.0,36.0,25.0,53.5,3.25
18.5,32.5,29.0,32.5,25.0,37.0,1.75
16.5,25.0,18.5,23.0,24.5,43.5,3.5
16.5,30.0,26.0,30.5,24.0,36.0,3.75
14.5,28.0,22.5,24.5,23.0,56.0,3.5
19.0,30.5,27.0,32.0,24.0,46.0,1.75
15.5,30.0,23.5,27.5,23.5,39.0,4.0
14.5,27.0,24.0,29.0,24.0,56.0,2.0
17.0,25.5,17.5,23.5,25.0,39.5,2.25
18.5,32.0,28.5,33.5,22.0,48.0,2.75
16.5,28.0,25.0,27.0,23.5,39.0,2.0
19.0,27.5,21.0,26.0,23.5,42.5,1.75
15.5,28.5,22.0,27.5,23.5,36.5,3.0
15.0,25.5,20.0,23.0,22.5,46.0,1.5
20.0,33.5,29.0,31.5,25.5,55.0,2.5
16.5,25.0,21.0,26.0,24.5,45.0,3.25
15.5,25.5,21.5,23.5,24.0,46.5,2.5
20.0,30.0,25.5,29.5,24.0,49.0,2.0
20.0,32.5,28.5,33.5,22.5,49.0,3.5
15.5,26.0,21.5,27.0,24.5,39.5,2.0
19.5,35.0,30.5,36.5,24.0,57.5,3.25
19.0,32.5,30.0,33.0,23.0,44.0,3.75
19.5,33.0,30.0,35.0,22.0,56.5,3.0
17.0,31.0,24.0,26.0,23.0,54.0,3.75
19.5,34.0,27.0,30.5,24.0,53.5,1.5
19.0,29.5,27.0,30.0,25.5,56.5,2.0
18.5,27.0,23.0,26.0,24.0,53.5,3.75
14.0,28.0,24.0,29.0,23.0,58.0,2.25
15.0,27.0,23.5,26.5,25.5,43.5,2.25
15.5,29.0,23.5,27.0,25.5,56.5,1.75
15.5,29.5,24.0,29.0,22.5,50.0,3.25
19.5,28.5,24.5,30.0,26.0,36.5,3.0
17.5,30.0,27.5,32.0,25.0,53.0,2.0
18.5,30.5,23.5,26.0,25.5,59.0,2.5
17.5,32.5,30.0,33.5,24.5,44.5,3.5
15.5,25.5,22.0,24.5,22.5,54.5,3.5
18.0,33.5,26.0,28.0,22.5,48.0,1.5
14.5,25.0,19.5,23.0,24.5,48.5,2.5
16.5,29.5,24.0,29.5,24.0,50.0,3.0
14.0,24.5,20.5,26.0,24.5,53.0,2.0
19.5,32.0,28.0,31.0,25.5,46.0,2.25
19.0,34.5,28.5,32.5,26.0,40.5,3.75
16.5,25.0,17.0,21.5,22.0,51.5,2.0
19.5,30.0,26.5,29.0,23.0,47.0,4.0
19.0,31.5,25.5,30.5,25.0,37.0,3.25
