Height till Knee,Height,Waist,Round Knee,Round End,Seat,Crotch,Fabric estimation_short in meter,Fabric estimation_long in meter
9 1/2,19,20,12,9,22,7,0.5,0.75
10,20,20,12,9,22,7,0.5,0.75
10 1/2,21,21,13,10,24,7 1/2,0.5,0.75
11,22,21,13,10,24,7 1/2,0.5,0.75
11 1/2,23,21 1/2,13,10,25,7 1/2,0.5,0.75
12,24,22,14,10,26,7 1/2,0.75,1
12 1/2,25,22,14,10,27,7 1/2,0.75,1
13,26,23,15,11,28,8,0.75,1
13 1/2,27,24,15,11,28,8,0.75,1
14,28,24,15,11,29,8,0.75,1
15,30,24 1/2,15,11,29,8,1,1.25
16,32,25,16,11,29,8,1,1.25
17,34,26,17,12,30,8 1/2,1,1.25
18,36,26,17,12,31,8 1/2,1,1.25
18 1/2,37,27,18,13,32,9,1,1.25
19,38,28,19,14,33,9,1,1.25
19 1/2,39,30,19,14,33,9 1/2,1,1.25
20,40,31,20,14,34,9 1/2,1.25,1.5
20 1/2,41,32,20,14,36,9 1/2,1.25,1.5
21,41,33,21,14,36,9 1/2,1.25,1.5
21,41,34,22,15,38,10,1.25,1.5
21,41,35,22,15,39,10,1.25,1.5
21,41,36,22,15,40,10,1.25,1.5
21,41,37,22,15,40,10,1.25,1.5
21,41,38,23,16,41,10 1/2,1.5,2
21,41,39,23,16,42,10 1/2,1.5,2
21,42,40,24,16,44,10 1/2,1.5,2
