Shoulder,Chest,Waist,Hips,Sleeve Length,Height,Fabric estimation in meters
20.0,35.5,31.5,34.5,23.0,56.0,2.25
16.0,26.0,22.0,24.5,24.0,51.5,1.75
14.5,29.5,23.0,26.5,25.5,49.0,3.75
14.5,27.5,22.0,28.0,24.5,35.5,4.0
14.5,29.0,24.0,28.0,23.5,47.0,2.5
18.5,31.0,28.5,34.5,26.0,56.5,3.0
16.5,30.5,23.5,27.5,26.0,56.5,4.0
16.0,28.5,22.0,26.0,25.5,58.5,3.25
20.0,30.5,28.0,32.5,25.5,38.0,3.0
17.0,29.0,26.5,31.0,26.0,38.5,3.0
18.0,26.5,19.0,22.0,24.5,50.0,3.5
14.5,27.5,23.0,27.5,24.0,39.5,1.75
17.0,26.0,23.0,26.0,23.0,55.5,2.25
15.5,31.0,27.0,31.0,22.0,56.5,2.75
19.5,35.0,31.5,37.0,26.0,39.0,2.5
18.5,26.5,20.0,25.0,24.0,38.5,1.75
16.5,30.5,26.5,31.5,24.5,60.0,1.75
14.5,25.0,21.0,25.0,23.5,58.5,1.5
15.5,23.5,19.5,23.5,24.5,47.0,2.25
15.5,25.0,19.5,25.0,24.5,42.5,2.75
19.5,30.0,27.0,33.0,24.5,55.5,2.25
14.5,25.0,22.0,27.5,26.0,58.0,3.5
14.5,27.0,21.5,26.5,25.0,42.0,2.75
15.5,27.5,22.5,25.0,24.0,51.5,3.5
15.5,27.5,22.0,27.0,22.0,49.0,1.75
16.0,26.5,22.5,25.0,26.0,37.0,1.5
18.5,30.0,27.0,31.0,25.0,43.0,2.0
17.0,26.5,23.5,29.0,25.0,36.5,2.25
17.0,28.0,20.0,22.5,24.5,39.0,3.25
16.0,29.5,23.5,27.5,22.0,38.0,1.75
18.0,30.0,25.0,30.0,23.5,57.0,2.5
18.0,29.0,23.0,27.0,26.0,35.5,4.0
19.0,33.5,30.5,36.5,25.0,51.0,3.75
19.0,35.0,32.5,34.5,26.0,44.0,3.75
19.0,28.0,20.5,26.0,24.0,38.5,3.0
19.0,32.5,29.0,33.5,24.5,58.5,2.0
19.5,35.5,29.5,35.0,25.5,37.5,2.25
18.5,33.0,26.5,30.5,22.0,44.5,1.75
16.5,29.5,26.0,30.0,25.5,46.5,2.5
17.5,31.5,28.5,33.0,24.0,59.5,3.0
17.0,26.5,24.0,27.0,25.0,37.5,1.5
17.0,25.5,18.0,22.0,26.0,59.5,1.75
16.0,27.0,21.5,25.0,25.0,58.0,2.75
17.0,26.0,20.0,23.0,24.0,46.0,2.75
20.0,29.0,22.5,26.0,23.5,46.5,2.25
19.0,29.5,26.5,32.5,25.0,37.0,2.25
15.5,27.0,24.5,27.0,23.5,49.0,2.0
16.0,24.0,21.0,23.0,25.5,40.5,2.25
15.0,28.5,21.5,26.0,22.5,54.0,3.5
15.5,26.0,22.0,28.0,23.5,39.5,3.75
